last_name, first_name,player_id,year,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,batting_avg,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyweak_percent,hard_hit_percent
Taylor, Chris,621035,2021,582,129,80,25,4,20,167,63,28.7,0.254,0.237,0.422,0.329,0.33,0.185,88.2,17.4,38.1,35,10.2,6.4,23.8,5.2,38.1
Correa, Carlos,621043,2021,640,155,94,34,1,26,116,75,18.1,0.279,0.296,0.482,0.373,0.38,0.187,90.2,12.1,33.5,42,9.4,7.4,27,3.8,42.7
Olson, Matt,621566,2021,673,153,79,35,0,39,113,88,16.8,0.271,0.264,0.507,0.378,0.374,0.243,91.6,16.2,32.4,59,12.7,7.8,19.7,3.9,48.8
Alonso, Pete,624413,2021,637,147,80,27,3,37,127,60,19.9,0.262,0.271,0.542,0.377,0.352,0.271,91,14.7,34.5,65,14.8,8.2,20.1,4.3,47.3
Frazier, Adam,624428,2021,639,176,130,36,5,5,69,48,10.8,0.305,0.288,0.376,0.324,0.353,0.088,85.4,12.6,38.9,5,1,4.7,33.2,3.7,25.2
Soler, Jorge,624585,2021,602,115,61,27,0,27,142,67,23.6,0.223,0.25,0.494,0.359,0.341,0.245,91.2,15.7,30.9,48,12.7,7.4,20.8,2.6,47
Cronenworth, Jake,630105,2021,643,151,90,33,7,21,90,55,14,0.266,0.282,0.449,0.348,0.356,0.167,88.6,12.5,35.8,35,7.2,3.9,25.5,3.7,35
Meadows, Austin,640457,2021,591,121,62,29,3,27,122,59,20.6,0.234,0.24,0.425,0.326,0.325,0.184,89.3,21.7,36.1,35,8.7,7.9,22.5,2.5,37.9
Anderson, Tim,641313,2021,551,163,115,29,2,17,119,22,21.6,0.309,0.284,0.448,0.329,0.314,0.164,89.6,4.3,32.5,32,7.8,5.9,27.1,4.6,42.3
Crawford, J.P.,641487,2021,687,169,123,37,0,9,114,58,16.6,0.273,0.257,0.339,0.298,0.325,0.082,86.3,9.8,34.3,12,2.4,3.7,29,4.5,30.6
Dozier, Hunter,641531,2021,543,105,56,27,6,16,154,43,28.4,0.216,0.224,0.388,0.299,0.295,0.163,89.9,15.8,33,30,8.8,9.1,22.4,2.9,42.2
Mancini III, Trey,641820,2021,616,142,87,33,1,21,143,51,23.2,0.255,0.267,0.452,0.341,0.337,0.186,88.9,9.7,36,43,10.4,8,25.1,5.6,42
McMahon, Ryan,641857,2021,596,134,78,32,1,23,147,59,24.7,0.254,0.244,0.426,0.325,0.323,0.182,90.5,14.3,40.2,28,7.3,9.8,24.1,2.3,43.5
O'Neill, Tyler,641933,2021,537,138,76,26,2,34,168,38,31.3,0.286,0.279,0.583,0.392,0.347,0.303,93,17.8,39.9,57,17.9,7.2,23.6,4.1,52.2
Rosario, Amed,642708,2021,588,155,113,25,6,11,120,31,20.4,0.282,0.268,0.369,0.301,0.311,0.101,88.8,5.6,32,12,2.8,4.6,28.8,2.3,43.5
Adames, Willy,642715,2021,555,130,72,32,1,25,156,57,28.1,0.262,0.236,0.438,0.325,0.314,0.202,89.5,16.8,35.1,39,11.4,7.6,23.1,4.1,44.7
Benintendi, Andrew,643217,2021,538,136,90,27,2,17,97,36,18,0.276,0.261,0.456,0.331,0.313,0.194,89.6,15.4,38.5,36,8.9,6.7,25.8,3.2,43.2
Kiner-Falefa, Isiah,643396,2021,677,172,136,25,3,8,90,28,13.3,0.271,0.267,0.349,0.292,0.309,0.082,85.5,5.4,31.6,10,1.8,3.5,27.9,5.8,28.8
Albies, Ozzie,645277,2021,686,163,86,40,7,30,128,47,18.7,0.259,0.26,0.465,0.332,0.312,0.205,89.6,21.1,37,47,9.3,7.3,22.8,2.6,37.2
Devers, Rafael,646240,2021,664,165,89,37,1,38,143,62,21.5,0.279,0.291,0.57,0.395,0.366,0.279,92.9,13.1,35.2,68,15,7.3,22.6,2.9,51.8
Urias, Luis,649966,2021,570,122,73,25,1,23,116,63,20.4,0.249,0.241,0.427,0.333,0.338,0.186,87.9,14.2,34.9,35,9.3,7.4,20.6,6.1,40.5
Torres, Gleyber,650402,2021,516,119,88,22,0,9,104,50,20.2,0.259,0.265,0.423,0.331,0.336,0.159,87.1,14.2,37.1,28,7.8,5.8,27.7,4.4,35.7
Diaz, Yandy,650490,2021,541,119,85,20,1,13,85,69,15.7,0.256,0.254,0.399,0.332,0.353,0.145,89.9,6.6,28.9,27,7,5.2,21.6,3.9,40.6
Chapman, Matt,656305,2021,622,111,66,15,3,27,202,80,32.5,0.21,0.209,0.424,0.321,0.315,0.214,89.7,18.6,32.1,46,13.7,4.8,16.7,3.6,41.7
Mullins II, Cedric,656775,2021,675,175,103,37,5,30,125,59,18.5,0.291,0.272,0.448,0.344,0.344,0.176,89.4,14.8,35.7,39,8.1,4.1,26.3,5.2,39.4
Smith, Pavin,656976,2021,545,133,91,27,4,11,106,42,19.4,0.267,0.253,0.398,0.313,0.317,0.145,87.2,9,33.6,20,5.1,8.4,24.4,7.4,42.7
Verdugo, Alex,657077,2021,604,157,110,32,2,13,96,51,15.9,0.289,0.285,0.446,0.342,0.348,0.161,90,7.7,34.9,33,7.3,5.3,27.6,4,43.3
Moncada, Yoan,660162,2021,616,137,89,33,1,14,157,84,25.5,0.263,0.261,0.426,0.353,0.374,0.165,90.1,11.3,40,30,8.2,6.3,28.5,2.5,41.2
Ohtani, Shohei,660271,2021,639,138,58,26,8,46,189,96,29.6,0.257,0.269,0.616,0.411,0.385,0.347,93.6,16.6,35.4,78,22.3,6.6,20,3.4,53.6
Riley, Austin,663586,2021,662,179,112,33,1,33,168,52,25.4,0.303,0.281,0.512,0.366,0.348,0.231,90.1,14.2,36.5,57,13.3,8.6,24.2,5.1,45.6
Mountcastle, Ryan,663624,2021,586,136,79,23,1,33,161,41,27.5,0.255,0.245,0.458,0.326,0.303,0.213,89.1,16.3,38.9,45,11.8,6.1,22.6,3.4,39.7
Tucker, Kyle,663656,2021,567,149,79,37,3,30,90,53,15.9,0.294,0.307,0.58,0.4,0.372,0.273,91.4,17.6,42,49,11.6,11.6,24.5,2.9,47.5
India, Jonathan,663697,2021,631,143,86,34,2,21,141,71,22.3,0.269,0.259,0.442,0.356,0.368,0.183,87.6,13.1,33.6,38,9.6,5.1,27.3,6.3,38.6
Grisham, Trent,663757,2021,527,112,66,28,3,15,119,54,22.6,0.242,0.241,0.368,0.309,0.328,0.127,88.8,12.3,31,18,5.2,6,25.3,6.6,36.8
Lowe, Nathaniel,663993,2021,642,147,102,24,3,18,162,80,25.2,0.264,0.236,0.402,0.324,0.333,0.166,90.8,5,31.4,38,9.5,4.5,23.6,2.3,45.5
Happ, Ian,664023,2021,535,105,59,20,1,25,156,62,29.2,0.226,0.22,0.397,0.317,0.32,0.177,89.5,9.9,30.8,34,10.9,5.1,22.1,4.2,41.3
France, Ty,664034,2021,650,166,115,32,1,18,106,46,16.3,0.291,0.27,0.436,0.347,0.353,0.166,88.5,11,35.9,32,6.8,5.3,29.7,3.6,38.9
Lowe, Brandon,664040,2021,615,132,62,31,0,39,167,68,27.2,0.247,0.25,0.5,0.36,0.343,0.25,89.3,16.9,37.2,52,14,6.7,22.1,4.3,43.1
Fletcher, David,664058,2021,665,164,132,27,3,2,60,31,9,0.262,0.273,0.321,0.281,0.308,0.048,82.3,8.4,30.4,0,0,1,27.2,7.9,15.7
Straw, Myles,664702,2021,638,153,119,29,1,4,121,67,19,0.271,0.256,0.333,0.303,0.337,0.077,87.1,11.9,42.4,6,1.3,2.9,29,4.2,26.2
Walsh, Jared,665120,2021,585,147,83,34,1,29,152,48,26,0.277,0.257,0.436,0.327,0.323,0.179,89.6,7.8,33.6,43,11.3,5,26,3.9,41.3
Tatis Jr., Fernando,665487,2021,546,135,62,31,0,42,153,62,28,0.282,0.279,0.618,0.408,0.363,0.338,93.9,13.8,33.1,70,21.3,7.3,18.8,2.7,55.6
Guerrero Jr., Vladimir,665489,2021,698,188,110,29,1,48,110,86,15.8,0.311,0.307,0.594,0.418,0.399,0.287,95.1,9.4,33.7,75,15.1,8.9,21.4,1.2,55.2
Soto, Juan,665742,2021,654,157,106,20,2,29,93,145,14.2,0.313,0.305,0.545,0.429,0.463,0.241,93,5.8,29.7,55,13.3,5.3,23.4,3.1,52.7
Chisholm Jr., Jazz,665862,2021,507,115,73,20,4,18,145,34,28.6,0.248,0.238,0.409,0.307,0.295,0.171,90.2,9,29,29,9,6.5,22.8,3.7,42
Bichette, Bo,666182,2021,690,191,131,30,1,29,137,40,19.9,0.298,0.291,0.49,0.355,0.337,0.198,91.4,7.3,33.5,50,9.9,4.3,28.4,3.6,47.5
Carlson, Dylan,666185,2021,619,144,91,31,4,18,152,57,24.6,0.266,0.247,0.407,0.322,0.328,0.159,88.2,15.1,40.6,28,7,7,27.3,3.3,31.1
Garcia, Adolis,666969,2021,622,141,82,26,2,31,194,32,31.2,0.243,0.223,0.426,0.302,0.271,0.203,91,14.7,29.4,45,11.5,6.1,24.3,3.3,45.5
Gurriel Jr., Lourdes,666971,2021,541,138,87,28,2,21,102,32,18.9,0.276,0.272,0.462,0.339,0.319,0.19,89.7,10.5,35.8,39,9.6,7.2,24.4,3.2,43
Arozarena, Randy,668227,2021,604,145,90,32,3,20,170,56,28.1,0.274,0.222,0.369,0.304,0.313,0.147,89.9,7.6,29.7,30,8.2,5.8,20.9,4.1,42.3
Reynolds, Bryan,668804,2021,646,169,102,35,8,24,119,75,18.4,0.302,0.294,0.524,0.386,0.384,0.23,89.4,13.4,39.9,46,10.4,6.8,26.8,3.8,40.8
Rojas, Josh,668942,2021,550,128,82,32,3,11,137,58,24.9,0.264,0.237,0.357,0.299,0.318,0.12,88.2,8.4,40.7,17,4.8,4.6,28.2,4.3,31.1
Edman, Tommy,669242,2021,691,168,113,41,3,11,95,38,13.7,0.262,0.274,0.401,0.316,0.32,0.127,87.5,9.5,31.5,23,4.2,5.8,25.4,4.5,35.1
Solak, Nick,669256,2021,511,111,80,18,2,11,107,34,20.9,0.242,0.238,0.361,0.299,0.31,0.124,86.9,7,29.3,23,6.5,4.2,20.3,6.2,33.5
Hays, Austin,669720,2021,529,125,73,26,4,22,107,28,20.2,0.256,0.245,0.432,0.316,0.298,0.187,88.8,12.5,32.2,35,9.1,5.2,21,4.7,39.2
Lopez, Nicky,670032,2021,565,149,120,21,6,2,74,49,13.1,0.3,0.239,0.305,0.283,0.313,0.065,86.8,2.8,27.6,3,0.7,3.9,24,7.1,26.9
Alvarez, Yordan,670541,2021,598,149,80,35,1,33,145,50,24.2,0.277,0.28,0.571,0.39,0.351,0.291,93.2,14.1,37.2,63,15.9,7.6,20.5,3,54.2
